ID,Name,Full Name,Alter Egos,Publisher,Alignment,Gender,Race,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat
17,Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,No alter egos found.,DC Comics,good,Male,Human,5'10 // 178 cm,160 lb // 72 kg,63,10,17,10,7,55
18,Alien,Xenomorph,No alter egos found.,Dark Horse Comics,bad,Male,Xenomorph XX121,8'0 // 244 cm,375 lb // 169 kg,50,28,42,90,57,60
19,Allan Quatermain,,No alter egos found.,Wildstorm,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
20,Amazo,,No alter egos found.,DC Comics,bad,Male,Android,8'5 // 257 cm,385 lb // 173 kg,63,100,83,100,100,100
21,Ammo,,No alter egos found.,Marvel Comics,bad,Male,Human,6'2 // 188 cm,225 lb // 101 kg,null,null,null,null,null,null
22,Ando Masahashi,Ando Masahashi,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
23,Angel,Liam,No alter egos found.,Dark Horse Comics,good,Male,Vampire,- // 0 cm,- lb // 0 kg,75,30,58,90,100,75
24,Angel,Warren Kenneth Worthington III,Archangel,Archangel,good,Male,null,6'0 // 183 cm,150 lb // 68 kg,63,13,46,64,28,42
25,Angel Dust,Christina,No alter egos found.,Marvel Comics,good,Female,Mutant,5'5 // 165 cm,126 lb // 57 kg,38,55,23,42,17,30
26,Angel Salvadore,Angel Salvadore Bohusk,Tempest,Tempest,good,Female,null,5'4 // 163 cm,121 lb // 54 kg,38,10,28,28,56,60
27,Angela,,No alter egos found.,Image Comics,bad,Female,null,- // 0 cm,- lb // 0 kg,null,97,null,null,null,null
28,Animal Man,Bernhard Baker,No alter egos found.,DC Comics,good,Male,Human,6'0 // 183 cm,185 lb // 83 kg,56,48,47,85,73,80
29,Annihilus,Annihilus,No alter egos found.,Marvel Comics,bad,Male,null,5'11 // 180 cm,200 lb // 90 kg,75,80,47,56,59,64
30,Ant-Man,Hank Pym,"Giant-Man, Goliath, Wasp II, Yellowjacket",Giant-Man,good,Male,Human,6'11 // 211 cm,270 lb // 122 kg,100,18,23,28,32,32
31,Ant-Man II,Scott Lang,No alter egos found.,Marvel Comics,good,Male,Human,6'0 // 183 cm,190 lb // 86 kg,75,18,17,40,53,30
32,Anti-Monitor,,No alter egos found.,DC Comics,bad,Male,God / Eternal,200 // 61.0 meters,- lb // 0 kg,88,100,50,100,100,90
33,Anti-Spawn,Jason Wynn,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,58,null,null,null,null
34,Anti-Venom,Eddie Brock,"Toxin, Venom",Toxin,-,Male,Symbiote,7'6 // 229 cm,795 lb // 358 kg,75,60,65,90,96,84
35,Apocalypse,En Sabah Nur,No alter egos found.,Marvel Comics,bad,Male,Mutant,7'0 // 213 cm,300 lb // 135 kg,100,100,33,100,100,60
36,Aquababy,"Arthur Curry, Jr.",No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,10,16,12,14,37,14
37,Aqualad,Garth,No alter egos found.,DC Comics,good,Male,Atlantean,5'10 // 178 cm,235 lb // 106 kg,63,44,42,75,89,60
38,Aquaman,Orin,No alter egos found.,DC Comics,good,Male,Atlantean,6'1 // 185 cm,325 lb // 146 kg,81,85,79,80,100,80
39,Arachne,Julia Carpenter,No alter egos found.,Marvel Comics,good,Female,Human,5'9 // 175 cm,140 lb // 63 kg,50,48,50,70,71,70
40,Archangel,Warren Kenneth Worthington III,Angel,Angel,good,Male,Mutant,6'0 // 183 cm,150 lb // 68 kg,63,13,58,64,35,42
41,Arclight,Philippa Sontag,No alter egos found.,Marvel Comics,bad,Female,null,5'8 // 173 cm,126 lb // 57 kg,38,63,23,42,52,70
42,Ardina,Ardina,No alter egos found.,Marvel Comics,good,Female,Alien,6'4 // 193 cm,218 lb // 98 kg,63,100,100,80,100,25
43,Ares,,No alter egos found.,Marvel Comics,good,Male,null,6'1 // 185 cm,600 lb // 270 kg,75,82,35,80,84,101
44,Ariel,Ariel,No alter egos found.,Marvel Comics,good,Female,null,5'5 // 165 cm,130 lb // 59 kg,50,10,12,14,94,28
45,Armor,Hisako Ichiki,No alter egos found.,Marvel Comics,good,Female,null,5'4 // 163 cm,112 lb // 50 kg,50,63,12,80,55,54
46,Arsenal,"Roy William Harper, Jr.",Speedy,Speedy,good,Male,Human,- // 0 cm,- lb // 0 kg,null,54,null,null,null,null
47,Astro Boy,Atom,No alter egos found.,null,good,Male,null,- // 0 cm,- lb // 0 kg,null,90,null,null,null,null
48,Atlas,Erik Josten,"Goliath, Power Man, Smuggler",Goliath,good,Male,Mutant,6'0 // 183 cm,225 lb // 101 kg,63,80,25,100,98,50
49,Atlas,,No alter egos found.,DC Comics,bad,Male,God / Eternal,6'6 // 198 cm,280 lb // 126 kg,63,100,42,100,27,80
50,Atom,Albert Pratt,No alter egos found.,DC Comics,good,Male,null,5'10 // 178 cm,150 lb // 68 kg,null,null,null,null,null,null
51,Atom,,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
52,Atom Girl,Salu Digby,No alter egos found.,DC Comics,good,Female,null,5'6 // 168 cm,120 lb // 54 kg,38,10,23,28,38,42
53,Atom II,Ray Palmer,No alter egos found.,DC Comics,good,Male,Human,6'0 // 183 cm,180 lb // 81 kg,88,10,33,45,40,60
54,Atom III,Adam Cray,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
55,Atom IV,Ryan Choi,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,160 lb // 72 kg,null,null,null,null,null,null
56,Aurora,Jeanne-Marie Beaubier,No alter egos found.,Marvel Comics,good,Female,Mutant,5'11 // 180 cm,140 lb // 63 kg,63,10,96,60,74,56
57,Azazel,,No alter egos found.,Marvel Comics,bad,Male,Neyaphem,6'0 // 183 cm,149 lb // 67 kg,50,11,47,95,100,80
58,Azrael,Michael Washington Lane,No alter egos found.,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,63,18,17,20,35,80
59,Aztar,Aztar,Spectre,Spectre,good,Male,null,- // 0 cm,- lb // 0 kg,null,98,null,null,null,null
60,Bane,,No alter egos found.,DC Comics,bad,Male,Human,6'8 // 203 cm,400 lb // 180 kg,88,38,23,56,51,95
61,Banshee,Sean Cassidy,No alter egos found.,Marvel Comics,good,Male,Human,6'0 // 183 cm,170 lb // 77 kg,50,10,58,40,63,70
62,Bantam,Roberto Velasquez,No alter egos found.,Marvel Comics,good,Male,null,5'5 // 165 cm,119 lb // 54 kg,25,53,23,54,21,56
63,Batgirl,Barbara Gordon,Oracle,Oracle,good,Female,Human,5'7 // 170 cm,126 lb // 57 kg,88,11,33,40,34,90
64,Batgirl,Mary Elizabeth Kane,Hawkfire,Hawkfire,good,Female,null,- // 0 cm,- lb // 0 kg,null,27,null,null,null,null
65,Batgirl III,Helena Rosa Bertinelli,Huntress,Huntress,good,Female,null,- // 0 cm,- lb // 0 kg,null,43,null,null,null,null
66,Batgirl IV,Cassandra Cain,No alter egos found.,DC Comics,good,Female,Human,5'5 // 165 cm,115 lb // 52 kg,69,12,27,56,46,100
67,Batgirl V,Charlotte Gage-Radcliffe,Misfit,Misfit,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
68,Batgirl VI,Stephanie Brown,Spoiler,Spoiler,good,Female,null,5'6 // 168 cm,135 lb // 61 kg,75,10,23,28,22,80
69,Batman,Terry McGinnis,No alter egos found.,DC Comics,good,Male,Human,5'10 // 178 cm,170 lb // 77 kg,81,40,29,55,63,90
70,Batman,Bruce Wayne,No alter egos found.,DC Comics,good,Male,Human,6'2 // 188 cm,210 lb // 95 kg,100,26,27,50,47,100
71,Batman II,Dick Grayson,"Nightwing, Robin",Nightwing,good,Male,Human,5'10 // 178 cm,175 lb // 79 kg,88,11,33,28,36,100
72,Battlestar,Lemar Hoskins,No alter egos found.,Marvel Comics,good,Male,null,6'6 // 198 cm,295 lb // 133 kg,50,53,35,74,48,74
73,Batwoman V,Katherine Rebecca Kane,No alter egos found.,DC Comics,good,Female,Human,5'10 // 178 cm,- lb // 0 kg,81,8,29,25,27,80
74,Beak,Barnell Bohusk,No alter egos found.,Marvel Comics,good,Male,null,5'9 // 175 cm,140 lb // 63 kg,null,null,null,null,null,null
75,Beast,Henry Philip McCoy,No alter egos found.,Marvel Comics,good,Male,Mutant,5'11 // 180 cm,402 lb // 181 kg,94,48,38,60,43,85
76,Beast Boy,Garfield Mark Logan,No alter egos found.,DC Comics,good,Male,Human,5'8 // 173 cm,150 lb // 68 kg,50,28,50,70,79,40
77,Beetle,,No alter egos found.,Marvel Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,54,null,null,null,null
78,Ben 10,Benjamin Kirby Tennyson,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,10,7,8,10,90,40
79,Beta Ray Bill,Beta Ray Bill (translation of his Korbinite name),No alter egos found.,Marvel Comics,good,Male,null,6'7 // 201 cm,480 lb // 216 kg,63,80,35,95,100,84
80,Beyonder,,No alter egos found.,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,100,100,100,100,100,84
81,Big Barda,Barda Free,No alter egos found.,DC Comics,bad,Female,New God,6'2 // 188 cm,300 lb // 135 kg,88,100,79,100,100,100
82,Big Daddy,Damon Macready,No alter egos found.,Icon Comics,good,Male,null,- // 0 cm,- lb // 0 kg,38,10,12,32,22,64
83,Big Man,Frederick Foswell,No alter egos found.,Marvel Comics,bad,Male,null,5'5 // 165 cm,157 lb // 71 kg,75,12,23,28,19,70
84,Bill Harken,,No alter egos found.,SyFy,good,Male,Alpha,- // 0 cm,- lb // 0 kg,63,36,33,60,27,40
85,Billy Kincaid,Billy Kincaid,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
86,Binary,Carol Danvers,"Captain Marvel, Warbird",Captain Marvel,good,Female,null,5'11 // 180 cm,120 lb // 54 kg,null,null,null,null,null,null
87,Bionic Woman,Jamie Sommers,No alter egos found.,,good,Female,Cyborg,- // 0 cm,- lb // 0 kg,56,37,33,40,20,40
88,Bird-Brain,,No alter egos found.,Marvel Comics,good,-,null,- // 0 cm,- lb // 0 kg,25,10,35,28,21,42
89,Bird-Man,Henry Hawk,No alter egos found.,Marvel Comics,bad,Male,Human,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
90,Bird-Man II,Achille DiBacco,No alter egos found.,Marvel Comics,bad,Male,Human,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
91,Birdman,Ray Randal,No alter egos found.,Hanna-Barbera,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,null,35,null,null,null,null
92,Bishop,Lucas Bishop,No alter egos found.,Marvel Comics,good,Male,Mutant,6'6 // 198 cm,275 lb // 124 kg,63,14,23,75,100,65
93,Bizarro,Bizarro,No alter egos found.,DC Comics,neutral,Male,Bizarro,6'3 // 191 cm,345 lb // 155 kg,38,95,100,100,100,85
94,Black Abbott,,No alter egos found.,Marvel Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
95,Black Adam,Teth-Adam,No alter egos found.,DC Comics,bad,Male,null,6'3 // 191 cm,250 lb // 113 kg,88,100,92,100,100,56
96,Black Bolt,Blackagar Boltagon,No alter egos found.,Marvel Comics,good,Male,Inhuman,6'2 // 188 cm,210 lb // 95 kg,75,67,100,84,100,56
97,Black Canary,Laurel Lance,No alter egos found.,DC Comics,good,Female,Metahuman,5'7 // 170 cm,130 lb // 59 kg,63,8,33,20,52,80
98,Black Canary,Dinah Drake Lance,No alter egos found.,DC Comics,good,Female,Human,5'5 // 165 cm,128 lb // 58 kg,63,8,33,15,45,80
99,Black Cat,Felicia Hardy,No alter egos found.,Marvel Comics,good,Female,Human,5'10 // 178 cm,120 lb // 54 kg,75,16,33,10,23,70
100,Black Flash,,No alter egos found.,DC Comics,neutral,Male,God / Eternal,- // 0 cm,- lb // 0 kg,44,10,100,80,100,30
101,Black Goliath,,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
102,Black Knight III,Dane Whitman,No alter egos found.,Marvel Comics,good,Male,Human,6'0 // 183 cm,190 lb // 86 kg,63,10,8,70,43,70
103,Black Lightning,Jefferson Pierce,No alter egos found.,DC Comics,good,Male,null,6'1 // 185 cm,200 lb // 90 kg,50,11,53,28,70,75
104,Black Mamba,Tanya Sealy,No alter egos found.,Marvel Comics,bad,Female,null,5'7 // 170 cm,115 lb // 52 kg,75,10,35,42,88,65
105,Black Manta,David,No alter egos found.,DC Comics,bad,Male,Human,6'2 // 188 cm,205 lb // 92 kg,75,28,50,60,76,85
106,Black Panther,T'Challa,No alter egos found.,Marvel Comics,good,Male,Human,6'0 // 183 cm,200 lb // 90 kg,88,16,30,60,41,100
107,Black Widow,Natasha Romanoff,No alter egos found.,Marvel Comics,good,Female,Human,5'7 // 170 cm,131 lb // 59 kg,75,13,33,30,36,100
108,Black Widow II,Yelena Belova,No alter egos found.,Marvel Comics,good,Female,null,5'7' // 170 cm,135 lb // 61 kg,null,48,null,null,null,null
109,Blackout,,No alter egos found.,Marvel Comics,bad,Male,Demon,6'3 // 191 cm,230 lb // 104 kg,63,32,45,80,45,65
110,Blackwing,Joseph Manfredi,No alter egos found.,Marvel Comics,bad,Male,null,6'1 // 185 cm,190 lb // 86 kg,38,10,35,32,20,56
111,Blackwulf,Lucian,No alter egos found.,Marvel Comics,-,Male,Alien,6'2 // 188 cm,195 lb // 88 kg,50,28,8,30,69,25
112,Blade,Eric Brooks,No alter egos found.,Marvel Comics,good,Male,Vampire,6'2 // 188 cm,215 lb // 97 kg,63,28,38,50,40,90
113,Blaquesmith,-,Vertigo II,Vertigo II,good,-,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
114,Bling!,Roxanne Washington,No alter egos found.,Marvel Comics,good,Female,null,5'6 // 168 cm,152 lb // 68 kg,69,14,12,90,52,28
115,Blink,Clarice Ferguson,No alter egos found.,Marvel Comics,good,Female,Mutant,5'5 // 165 cm,125 lb // 56 kg,50,8,20,28,77,64
116,Blizzard,Gregor Shapanka,No alter egos found.,Marvel Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
117,Blizzard,,No alter egos found.,Marvel Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,72,null,null,null,null
118,Blizzard II,Donald Gill,No alter egos found.,Marvel Comics,bad,Male,null,5'9 // 175 cm,170 lb // 77 kg,38,10,27,42,47,56
119,Blob,Frederick J. Dukes,No alter egos found.,Marvel Comics,bad,Male,null,5'10 // 178 cm,510 lb // 230 kg,10,83,23,95,28,72
120,Bloodaxe,Jackie Lukus,No alter egos found.,Marvel Comics,bad,Female,Human,7'2 // 218 cm,1100 lb // 495 kg,63,80,33,80,100,84
121,Bloodhawk,Lemuel Krug,No alter egos found.,Marvel Comics,good,Male,Mutant,- // 0 cm,- lb // 0 kg,50,10,50,80,80,64
122,Bloodwraith,Sean Dolan,No alter egos found.,Marvel Comics,bad,Male,null,100'0 // 30.5 meters,- lb // 0 kg,null,72,null,null,null,null
123,Blue Beetle,Daniel Garrett,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
124,Blue Beetle,,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
125,Blue Beetle II,Theodore Kord,No alter egos found.,DC Comics,good,Male,null,6'0 // 183 cm,190 lb // 86 kg,null,45,null,null,null,null
126,Blue Beetle III,Jaime Reyes,No alter egos found.,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,50,34,58,80,100,30
127,Boba Fett,,No alter egos found.,George Lucas,bad,Male,Human / Clone,6'0 // 183 cm,- lb // 0 kg,63,10,38,36,68,70
128,Bolt,,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
129,Bomb Queen,,No alter egos found.,Image Comics,bad,Female,null,- // 0 cm,- lb // 0 kg,null,73,null,null,null,null
130,Boom-Boom,Tabitha Smith,Meltdown,Meltdown,good,Female,Mutant,5'5 // 165 cm,122 lb // 55 kg,38,10,12,42,57,64
131,Boomer,,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
132,Booster Gold,Michael Jon Carter,No alter egos found.,DC Comics,good,Male,Human,6'5 // 196 cm,215 lb // 97 kg,69,85,42,70,100,40
133,Box,Roger Bochs,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
134,Box III,Dr. Walter Langowski,No alter egos found.,Marvel Comics,good,-,null,6'4 // 193 cm,245 lb // 110 kg,null,null,null,null,null,null
135,Box IV,Madison Jeffries,Gemini V,Gemini V,good,-,null,- // 0 cm,- lb // 0 kg,50,75,23,28,11,56
136,Brainiac,Vril Dox,No alter egos found.,DC Comics,bad,Male,Android,6'6 // 198 cm,300 lb // 135 kg,100,95,63,90,60,75
137,Brainiac 5,Querl Dox,No alter egos found.,DC Comics,good,Male,null,5'7 // 170 cm,135 lb // 61 kg,100,10,23,28,60,32
138,Brother Voodoo,Jericho Drumm,No alter egos found.,Marvel Comics,good,Male,Human,6'0 // 183 cm,220 lb // 99 kg,null,65,null,null,null,null
139,Brundlefly,Seth Brundle,No alter egos found.,,-,Male,Mutant,6'4 // 193 cm,- lb // 0 kg,69,32,25,40,27,15
140,Buffy,Buffy Anne Summers,No alter egos found.,Dark Horse Comics,good,Female,Human,5'2 // 157 cm,115 lb // 52 kg,63,28,42,70,48,60
141,Bullseye,Lester,No alter egos found.,Marvel Comics,bad,Male,Human,6'0 // 183 cm,200 lb // 90 kg,50,11,25,70,20,70
142,Bumblebee,Karen Beecher,No alter egos found.,DC Comics,good,Female,Human,5'7 // 170 cm,130 lb // 59 kg,63,28,25,10,47,35
143,Bumbleboy,,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
144,Bushido,Ryuko Orsono,No alter egos found.,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,38,10,8,10,19,70
145,Cable,Nathan Summers,No alter egos found.,Marvel Comics,good,Male,Mutant,6'8 // 203 cm,350 lb // 158 kg,88,48,23,56,100,80
146,Callisto,Callisto,No alter egos found.,Marvel Comics,bad,Female,null,5'9 // 175 cm,165 lb // 74 kg,63,53,23,42,52,85
147,Cameron Hicks,,No alter egos found.,SyFy,good,Male,Alpha,- // 0 cm,- lb // 0 kg,50,10,23,28,51,70
148,Cannonball,Samuel Zachery Guthrie,No alter egos found.,Marvel Comics,good,Male,null,6'0 // 183 cm,181 lb // 81 kg,50,28,67,99,94,56
149,Captain America,Steve Rogers,No alter egos found.,Marvel Comics,good,Male,Human,6'2 // 188 cm,240 lb // 108 kg,69,19,38,55,60,100
150,Captain Atom,Nathaniel Adam,No alter egos found.,DC Comics,good,Male,Human / Radiation,6'4 // 193 cm,200 lb // 90 kg,81,93,83,90,100,80
151,Captain Britain,Brian Braddock,No alter egos found.,Marvel Comics,good,Male,Human,6'6 // 198 cm,257 lb // 116 kg,75,77,50,60,31,80
152,Captain Cold,Leonard Snart,No alter egos found.,DC Comics,neutral,Male,Human,- // 0 cm,- lb // 0 kg,50,10,17,20,28,20
153,Captain Epic,,No alter egos found.,Team Epic TV,good,Male,null,6'2 // 188 cm,- lb // 0 kg,null,null,null,null,null,null
154,Captain Hindsight,Jack Brolin,No alter egos found.,South Park,good,Male,Human,- // 0 cm,- lb // 0 kg,25,10,83,30,10,20
155,Captain Mar-vell,Mar-Vell,No alter egos found.,Marvel Comics,good,Male,null,6'2' // 188 cm,240 lb // 108 kg,null,80,null,null,null,null
156,Captain Marvel,Billy Batson,No alter egos found.,DC Comics,good,Male,Human,6'4 // 193 cm,225 lb // 101 kg,88,100,88,95,100,75
157,Captain Marvel,Carol Danvers,"Binary, Warbird",Binary,good,Female,Human-Kree,5'11 // 180 cm,165 lb // 74 kg,84,88,71,95,100,90
158,Captain Marvel II,Frederick Christopher Freeman,No alter egos found.,DC Comics,good,Male,Human,5'9 // 175 cm,165 lb // 74 kg,75,81,27,90,34,56
159,Captain Midnight,,No alter egos found.,Dark Horse Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
160,Captain Planet,,No alter egos found.,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,50,88,75,80,100,60
161,Captain Universe,,No alter egos found.,Marvel Comics,good,-,God / Eternal,- // 0 cm,- lb // 0 kg,null,92,null,null,null,null
162,Carnage,Cletus Kasady,No alter egos found.,Marvel Comics,bad,Male,Symbiote,6'1 // 185 cm,190 lb // 86 kg,63,63,70,84,88,90
163,Cat,Shirlee Bryant,No alter egos found.,Marvel Comics,good,Female,null,5'8 // 173 cm,135 lb // 61 kg,null,90,null,null,null,null
164,Cat II,,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
165,Catwoman,Selina Kyle,No alter egos found.,DC Comics,good,Female,Human,5'9 // 175 cm,135 lb // 61 kg,69,11,33,28,27,85
166,Cecilia Reyes,Dr. Cecilia Reyes,No alter egos found.,Marvel Comics,good,-,null,5'7 // 170 cm,138 lb // 62 kg,null,null,null,null,null,null
167,Century,,No alter egos found.,Marvel Comics,good,Male,Alien,6'7 // 201 cm,215 lb // 97 kg,88,80,53,64,100,100
168,Cerebra,Shakti Haddad,No alter egos found.,Marvel Comics,good,Female,Mutant,- // 0 cm,- lb // 0 kg,null,57,null,null,null,null
169,Chamber,Jonothon Evan Starsmore,No alter egos found.,Marvel Comics,good,Male,Mutant,5'9 // 175 cm,140 lb // 63 kg,50,10,20,80,57,64
170,Chameleon,Dmitri Anatoly Smerdyakov Kravinoff,No alter egos found.,DC Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,88,10,12,28,28,28
171,Changeling,Kevin Sidney,No alter egos found.,Marvel Comics,bad,Male,null,5'11 // 180 cm,180 lb // 81 kg,63,10,23,42,64,64
172,Cheetah,Priscilla Rich,No alter egos found.,DC Comics,bad,Female,Human,5'4 // 163 cm,110 lb // 50 kg,38,8,42,20,32,70
173,Cheetah II,Deborah Domaine,No alter egos found.,DC Comics,bad,Female,Human,5'7 // 170 cm,122 lb // 55 kg,38,20,42,20,39,60
174,Cheetah III,Barbara Minerva,No alter egos found.,DC Comics,bad,Female,Human,5'9 // 175 cm,120 lb // 54 kg,88,100,88,80,78,95
175,Chromos,Bernard Embers,No alter egos found.,Team Epic TV,bad,Male,null,6'1 // 185 cm,190 lb // 86 kg,null,null,null,null,null,null
176,Chuck Norris,Carlos Ray Norris,No alter egos found.,null,good,Male,null,5'10 // 178 cm,- lb // 0 kg,50,80,47,56,42,99
177,Citizen Steel,Nathan Heywood,No alter egos found.,DC Comics,good,Male,Human,6'0 // 183 cm,378 lb // 170 kg,50,95,33,100,23,60
178,Claire Bennet,Claire Bennet,No alter egos found.,NBC - Heroes,good,Female,null,- // 0 cm,- lb // 0 kg,38,9,12,100,90,28
179,Clea,Clea,No alter egos found.,Marvel Comics,good,-,null,- // 0 cm,- lb // 0 kg,null,39,null,null,null,null
180,Cloak,Tyrone Johnson,No alter egos found.,Marvel Comics,good,Male,null,7'5 // 226 cm,155 lb // 70 kg,63,10,47,64,100,56
181,Clock King,William Tockman,No alter egos found.,DC Comics,bad,Male,Human,5'10 // 178 cm,173 lb // 78 kg,75,10,17,10,7,40
182,Cogliostro,Cain,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
183,Colin Wagner,,No alter egos found.,HarperCollins,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
184,Colossal Boy,,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
185,Colossus,Piotr Nikolaievitch Rasputin,No alter egos found.,Marvel Comics,good,Male,Mutant,7'5 // 226 cm,500 lb // 225 kg,63,83,33,100,45,80
186,Copycat,Vanessa Carlysle,No alter egos found.,Marvel Comics,neutral,Female,Mutant,6'0 // 183 cm,148 lb // 67 kg,56,10,21,25,54,60
187,Corsair,Christopher Summers,No alter egos found.,Marvel Comics,good,Male,null,6'3 // 191 cm,175 lb // 79 kg,null,16,null,null,null,null
188,Cottonmouth,Burchell Clemens,No alter egos found.,Marvel Comics,bad,Male,Human,6'0 // 183 cm,220 lb // 99 kg,50,10,8,10,27,25
189,Crimson Crusader,Rory Destine,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,58,null,null,null,null
190,Crimson Dynamo,Anton Vanko,No alter egos found.,Marvel Comics,good,Male,null,5'11 // 180 cm,230 lb // 104 kg,null,65,null,null,null,null
191,Crystal,Crystallia Amaquelin,No alter egos found.,Marvel Comics,good,Female,Inhuman,5'6 // 168 cm,110 lb // 50 kg,63,16,12,14,61,56
192,Curse,Phillip Krahn,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
